"num_incomes","pan_inc_chg","pan_inc_chg_pct","pan_exp_chg","pan_exp_chg_pct","pan_fi_chg","pan_ret_date_chg","pan_financial_impact","age","fin_indy","fin_indy_num","fin_indy_pct","retire_invst_num","tgt_sf_wthdrw_rt","max_retire_sup","retire_exp","whn_fin_indy_num","fin_indy_lvl","retire_age","stp_whn_fin_indy","employer","role","ft_status","pt_status","gig_status","edu_status","housing","2020_gross_inc","2020_invst_save","political_grouped","race_eth_grouped","gender_grouped","edu_grouped","rel_status_grouped","children_grouped","country_grouped","industry_grouped","total_assets","total_debts","total_expenses"
1,"Stayed the same",0,"Decreased",0.15,"No change","No change","Neutral",31,0,2e+06,30,2500000,3.3,0,80000,0,NA,56,"Yes","Public agency","Professional (non-licensed, certified)","For an Organization (Employed)",NA,NA,"Student","Rent",79000,40000,"Other",NA,"Male","Bachelor's or Associate's Degree","In a Relationship","No Children","Other","Public Administration (Civilian Government)",725000,1000,54900
2,"Decreased",0.45,"Stayed the same",0,"No change","No change","Negative",21,0,5e+05,2,7e+05,4,NA,20000,0,NA,41,"Partially","Private corporation","Skilled Laborer / Skilled Trade","For an Organization (Employed)",NA,NA,"Not a student","Live with family or friends",71000,10000,"Other","White / Caucasian","Male","Some College or Trade School","Singles","No Children","Other","Construction",12000,0,38713
1,"Stayed the same",0.05,"Decreased",0.15,"No change","No change","Positive",26,0,850000,24,1400000,2.8,20000,40000,0,NA,56,"Partially","Private corporation","Professional (non-licensed, certified)","For an Organization (Employed)",NA,NA,"Not a student","Rent",45000,15000,"Other","White / Caucasian","Male","Doctorate or Master's Degree","In a Relationship","No Children","Other","Manufacturing",202600,0,31070
2,"Stayed the same",0,"Decreased",0.55,"No change","No change","Positive",26,1,NA,NA,NA,NA,NA,NA,5e+05,"FI",NA,"No","Private corporation","Management - Middle / Lower","For an Organization (Employed)",NA,"For Myself (Self-Employed)","Not a student","Own",74000,12552,"Other","White / Caucasian","Male","Doctorate or Master's Degree","In a Relationship","No Children","Other","Information Technology",1509993,189938,46699
2,"Stayed the same",0,"Decreased",0.15,"No change","No change","Positive",36,0,8e+05,59,8e+05,4,20400,23500,0,NA,41,"Partially","Nonprofit corporation","Professional (licensed / certificated)","For an Organization (Employed)",NA,NA,"Not a student","Rent",115212,66015,"Other","White / Caucasian","Male","Doctorate or Master's Degree","In a Relationship","No Children","Other","Healthcare",469910,0,78056
1,"Increased",0.25,"Decreased",0.05,"No change","No change","Positive",31,0,1e+06,45,2500000,3,1e+05,75000,0,NA,46,"Partially","Private corporation","Consultant","For an Organization (Employed)",NA,"For Myself (Self-Employed)","Student","Own",80000,30000,"Other","White / Caucasian","Male","Doctorate or Master's Degree","Singles","No Children","Other","Financial Services",680000,310000,45850
1,"Stayed the same",0,"Decreased",0.25,"No change","No change","Positive",26,0,7e+05,15,1500000,4,20000,22000,0,NA,56,"Partially","Private corporation","Skilled Laborer / Skilled Trade","For an Organization (Employed)",NA,NA,"Not a student","Rent",48000,36000,"Other","White / Caucasian","Male","Bachelor's or Associate's Degree","In a Relationship","No Children","Other","Manufacturing",95600,0,44930
1,"Stayed the same",0,"Decreased",0.15,"No change","Become sooner","Neutral",31,0,350000,16,750000,3.5,27000,24000,0,NA,46,"Partially","Public corporation","Professional (non-licensed, certified)","For an Organization (Employed)",NA,NA,"Not a student","Own",78000,26500,"Other","White / Caucasian","Male","Doctorate or Master's Degree","In a Relationship","No Children","Other","Financial Services",209000,92000,51500
1,"Stayed the same",0,"Decreased",0.05,"No change","No change","Positive",26,0,2e+06,30,3e+06,2,12000,50000,0,NA,41,"Partially","Private corporation","Information Technology","For an Organization (Employed)",NA,NA,"Not a student","Live with family or friends",330000,190000,"Other","Asian or Pacific Islander","Male","Bachelor's or Associate's Degree","Singles","No Children","Other","Information Technology",1050000,0,91000
1,"Stayed the same",0,"Stayed the same",0,"No change","No change","Neutral",26,0,2500000,25,5e+06,3.5,NA,120000,0,NA,36,"No","Private corporation","Information Technology","For an Organization (Employed)",NA,NA,"Not a student","Rent",85000,19000,"Other","White / Caucasian","Male","Bachelor's or Associate's Degree","Singles","No Children","Other","Information Technology",252800,0,42460
2,"Decreased",0.25,"Decreased",0.25,"No change","Become sooner","Positive",61,1,NA,NA,NA,NA,NA,NA,1e+06,"FI",66,"No","Private corporation","Skilled Laborer / Skilled Trade",NA,"For an Organization (Employed)",NA,"Not a student","Own",110000,0,"Other","White / Caucasian","Female","Some College or Trade School","In a Relationship","Have Children","Other","Other Services",2180000,0,55300
2,"Increased",0.05,"Decreased",0.15,"No change","No change","Positive",31,0,1200000,20,1200000,4,28000,50000,0,NA,51,"Partially","Private corporation","Information Technology",NA,"For an Organization (Employed)",NA,"Not a student","Own",160000,16000,"Other","White / Caucasian","Male","Bachelor's or Associate's Degree","In a Relationship","Have Children","Other","Information Technology",603000,226000,56100
2,"Stayed the same",0,"Stayed the same",0,"No change","No change","Neutral",31,0,1500000,10,1500000,4,20000,60000,0,NA,51,"No","Private corporation","Professional (non-licensed, certified)","For an Organization (Employed)",NA,NA,"Not a student","Own",135000,40000,"Other","White / Caucasian","Male","Bachelor's or Associate's Degree","In a Relationship","No Children","Other","Financial Services",281000,90000,59900
2,"Stayed the same",0,"Decreased",0.15,"No change","Become sooner","Positive",31,0,1500000,20,2500000,3,20000,75000,0,NA,46,"Partially","Public corporation","Management - Middle / Lower","For an Organization (Employed)",NA,NA,"Not a student","Own",2e+05,70000,"Other","White / Caucasian","Male","Doctorate or Master's Degree","In a Relationship","No Children","Other","Professional & Business Services",1275000,705000,101750
1,"Stayed the same",0,"Decreased",0.25,"Increase","Become sooner","Positive",31,0,1e+06,15,1e+06,4,5000,40000,0,NA,41,"Partially","Private corporation","Management - Upper","For an Organization (Employed)",NA,"For Myself (Self-Employed)","Not a student","Own",155000,60000,"Other","White / Caucasian","Male","Bachelor's or Associate's Degree","In a Relationship","No Children","Other","Other Services",630000,250000,86000
1,"Stayed the same",0,"Decreased",0.15,"No change","No change","Neutral",26,0,2500000,15,2500000,4,1e+05,0,0,NA,46,"Partially","Private corporation","Skilled Laborer / Skilled Trade","For an Organization (Employed)",NA,NA,"Not a student","Own",90000,40000,"Other","White / Caucasian","Male","Some College or Trade School","Singles","No Children","Other","Construction",495000,210000,51500
1,"Stayed the same",0.15,"Decreased",0.15,"No change","Become sooner","Positive",36,0,950000,40,950000,3.5,8000,36000,0,NA,41,"Undecided","Private corporation","Information Technology","For an Organization (Employed)",NA,"For Myself (Self-Employed)","Not a student","Rent",93000,0,"Other","White / Caucasian","Male","Bachelor's or Associate's Degree","Singles","No Children","Other","Information Technology",415000,20000,55200
1,"Stayed the same",0,"Decreased",0.15,"No change","No change","Positive",26,0,1250000,65,1250000,4,0,45000,0,NA,31,"Undecided","Private corporation","Information Technology","For an Organization (Employed)",NA,NA,"Not a student","Own",190000,70000,"Other","Asian or Pacific Islander","Male","Bachelor's or Associate's Degree","Singles","No Children","Other","Information Technology",1685000,720000,114000
2,"Stayed the same",0,"Increased",0.05,"No change","No change","Neutral",41,0,2e+06,40,2e+06,5,15000,40000,0,NA,NA,"Partially","Self-employed","Skilled Laborer / Skilled Trade","For Myself (Self-Employed)",NA,NA,"Not a student","Own",205000,0,"Other","White / Caucasian","Male","Doctorate or Master's Degree","In a Relationship","No Children","Other","Construction",2020000,680000,124400
1,"Stayed the same",0,"Decreased",0.65,"No change","No change","Positive",41,1,NA,NA,NA,NA,NA,NA,1e+06,"LeanFI",46,"Undecided","Private corporation","Information Technology","For an Organization (Employed)",NA,NA,"Not a student","Own",327000,180000,"Other","Asian or Pacific Islander","Male","Doctorate or Master's Degree","In a Relationship","No Children","Other","Information Technology",3e+06,0,150225
1,"Stayed the same",0,"Decreased",0.25,"No change","No change","Positive",26,0,1e+06,3.11,2500000,4,NA,90000,0,NA,51,"Undecided","Public corporation","Customer Service",NA,"For an Organization (Employed)",NA,"Student","Live with family or friends",18000,0,"Other","White / Caucasian","Male","Bachelor's or Associate's Degree","Singles","No Children","Other","Financial Services",48083,23032,4920
1,"Decreased",0.05,"Decreased",0.05,"No change","No change","Negative",31,0,522000,50,983000,4,15000,54000,0,NA,41,"Partially","Private corporation","Information Technology","For an Organization (Employed)",NA,"For Myself (Self-Employed)","Not a student","Rent",91917,60000,"Other","White / Caucasian","Male","Bachelor's or Associate's Degree","Singles","No Children","Other","Information Technology",292000,800,45794
2,"Decreased",0.35,"Decreased",0.35,"No change","Become sooner","Positive",41,0,2500000,50,1600000,4,8000,60000,0,NA,51,"Undecided","Private corporation","Marketing","For an Organization (Employed)",NA,NA,"Not a student","Rent",2e+05,63000,"Other","Asian or Pacific Islander","Male","Bachelor's or Associate's Degree","In a Relationship","No Children","Other","Professional & Business Services",822000,0,110000
1,"Stayed the same",0.05,"Decreased",0.35,"Increase","No change","Neutral",31,0,2500000,5,100,3,14000,65000,0,NA,56,"No","Nonprofit corporation","Professional (licensed / certificated)","For an Organization (Employed)",NA,NA,"Not a student","Rent",139000,2400,"Other","White / Caucasian","Male","Doctorate or Master's Degree","Singles",NA,"Other","Healthcare",85124,37600,67600
2,"Stayed the same",0,"Decreased",0.05,"No change","No change","Positive",31,0,3e+06,10,2500000,3.5,20000,20000,0,NA,46,"Partially","Private corporation","Professional (licensed / certificated)","For an Organization (Employed)",NA,NA,"Not a student","Own",250000,3000,"Other","White / Caucasian","Male","Bachelor's or Associate's Degree","In a Relationship","No Children","Other","Professional & Business Services",1010000,550000,153000
2,"Increased",0.45,"Decreased",0.25,"Increase","Become sooner","Positive",26,0,2500000,2,2500000,4,10000,1e+05,0,NA,56,"Partially","Public corporation","Consultant","For an Organization (Employed)",NA,NA,"Not a student","Rent",160000,20000,"Other","White / Caucasian","Male","Doctorate or Master's Degree","In a Relationship","No Children","Other","Professional & Business Services",45000,6500,104820
2,"Stayed the same",0,"Stayed the same",0,"No change","No change","Positive",36,0,3e+06,10,1e+07,5,50000,3e+05,0,NA,61,"Yes","Private corporation","Professional (licensed / certificated)","For an Organization (Employed)",NA,NA,"Not a student","Rent",2e+05,5000,"Other","White / Caucasian","Male","Doctorate or Master's Degree","In a Relationship","Have Children","Other","Other Services",305000,2000,134000
1,"Increased",0.95,"Stayed the same",0,"No change","No change","Neutral",36,1,NA,NA,NA,NA,NA,NA,1800000,"FI",41,"No","Self-employed","Consultant","For Myself (Self-Employed)",NA,NA,"Not a student","Own",250000,112000,"Other","White / Caucasian","Male","Doctorate or Master's Degree","In a Relationship","Have Children","Other","Professional & Business Services",2330000,0,114500
1,"Stayed the same",0,"Stayed the same",0.05,"No change","Become sooner","Positive",31,0,2e+06,34,5e+06,3,30000,60000,0,NA,51,"No","Private corporation","Professional (licensed / certificated)","For an Organization (Employed)",NA,NA,"Not a student","Rent",175000,60000,"Other","White / Caucasian","Male","Bachelor's or Associate's Degree","In a Relationship","Have Children","Other","Construction",680000,320000,103700
2,"Stayed the same",0,"Decreased",0.25,"No change","Become sooner","Positive",36,0,1e+06,1,1e+06,3.5,25000,45000,0,NA,51,"Partially","Private corporation","Skilled Laborer / Skilled Trade","For an Organization (Employed)",NA,NA,"Not a student","Own",140000,12000,"Other","White / Caucasian","Male","Bachelor's or Associate's Degree","In a Relationship","No Children","Other","Construction",430000,98000,83900
1,"Stayed the same",0,"Decreased",0.05,"No change","No change","Neutral",31,0,1e+06,40,1e+06,4,6000,40000,0,NA,NA,"Partially","Public corporation","Professional (non-licensed, certified)","For an Organization (Employed)",NA,NA,"Student","Rent",60000,10000,"Other","White / Caucasian","Female","Bachelor's or Associate's Degree","Singles","No Children","Other","Financial Services",408000,0,40100
1,"Stayed the same",0,"Decreased",0.05,"No change","Become later","Positive",31,0,3300000,12,3300000,3.5,115000,0,0,NA,56,"Partially","Public corporation","Management - Middle / Lower","For an Organization (Employed)",NA,NA,"Not a student","Rent",110000,25000,"Other","White / Caucasian","Male","Doctorate or Master's Degree","Singles","No Children","Other","Other Services",8e+05,290000,33000
2,"Increased",0.05,"Decreased",0.15,"No change","Become sooner","Positive",31,0,5e+05,15,1e+06,4,35000,45000,0,NA,51,"Partially","Private corporation","Information Technology","For an Organization (Employed)",NA,NA,"Not a student","Own",175000,45000,"Other",NA,"Male","Bachelor's or Associate's Degree","In a Relationship","Have Children","Other","Financial Services",1240000,4e+05,52700
1,"Increased",0.05,"Decreased",0.05,"No change","No change","Neutral",26,0,1e+06,25,1500000,4,26000,60000,0,NA,41,"Undecided","Private corporation","Professional (licensed / certificated)","For an Organization (Employed)",NA,NA,"Not a student","Own",101000,0,"Other","White / Caucasian","Male","Some College or Trade School","Singles","No Children","Other","Other Services",760556,363754,53396
2,"Stayed the same",0,"Decreased",0.05,"No change","No change","Neutral",41,0,2e+06,40,2e+06,4,60000,30000,0,NA,51,"Undecided","Private corporation","Professional (licensed / certificated)","For an Organization (Employed)",NA,NA,"Not a student","Own",345000,1e+05,"Other","White / Caucasian","Male","Doctorate or Master's Degree","In a Relationship","Have Children","Other","Professional & Business Services",1835000,160000,269500
2,"Stayed the same",0,"Decreased",0.15,"No change","No change","Positive",31,0,2e+06,10,2e+06,3.5,10000,40000,0,NA,61,"No","Private corporation","Management - Middle / Lower","For an Organization (Employed)",NA,NA,"Not a student","Own",220000,1000,"Other","Asian or Pacific Islander","Female","Bachelor's or Associate's Degree","In a Relationship","No Children","Other","Other Services",1350000,9e+05,63900
2,"Stayed the same",0,"Decreased",0.05,"No change","No change","Neutral",41,0,3e+06,30,3e+06,4,35000,1e+05,0,NA,66,"No","Private corporation","Management - Upper","For an Organization (Employed)",NA,NA,"Not a student","Own",260000,0,"Other","White / Caucasian","Male","Bachelor's or Associate's Degree","In a Relationship","Have Children","Other","Manufacturing",2105000,368000,149100
1,"Stayed the same",0,"Decreased",0.15,"No change","No change","Neutral",31,0,1500000,55,3500000,4,95000,20000,0,NA,46,"Undecided","Public corporation","Management - Middle / Lower","For an Organization (Employed)",NA,NA,"Student","Own",121000,0,"Other","Asian or Pacific Islander","Male","Bachelor's or Associate's Degree","In a Relationship","No Children","Other","Other Services",676000,359000,0
2,"Increased",0.25,"Decreased",0.25,"Increase","No change","Positive",36,0,1e+06,30,2e+06,2,75000,50000,0,NA,51,"Partially","Self-employed","Consultant","For Myself (Self-Employed)",NA,NA,"Not a student","Own",1e+05,50000,"Other","White / Caucasian","Male","Doctorate or Master's Degree","In a Relationship","Have Children","Other","Other Services",585000,205000,29000
1,"Stayed the same",0,"Decreased",0.15,"Increase","Become sooner","Positive",31,0,1e+06,35,1e+06,4,40000,40000,0,NA,41,"Undecided","Private corporation","Customer Service","For an Organization (Employed)",NA,NA,"Not a student","Rent",170000,56000,"Other","White / Caucasian","Female","Doctorate or Master's Degree","In a Relationship","No Children","Other","Professional & Business Services",350000,0,107000
2,"Stayed the same",0,"Increased",0.15,"No change","No change","Neutral",36,0,8e+05,NA,8e+05,4,NA,30000,0,NA,51,"Partially","Nonprofit corporation","Professional (non-licensed, certified)","For an Organization (Employed)",NA,NA,"Student","Own",110000,16000,"Other","White / Caucasian","Female","Bachelor's or Associate's Degree","In a Relationship","No Children","Other","Education",247000,81000,48429
2,"Stayed the same",0,"Decreased",0.05,"No change","No change","Positive",31,0,1500000,50,1500000,4,40000,15000,0,NA,41,"Yes","Public corporation","Professional (licensed / certificated)","For an Organization (Employed)",NA,NA,"Not a student","Own",180000,0,"Other",NA,NA,"Bachelor's or Associate's Degree","In a Relationship","Have Children","Other","Construction",1742000,960000,96400
1,"Stayed the same",0,"Decreased",0.15,"Increase","Become sooner","Positive",31,0,NA,NA,NA,NA,NA,NA,0,NA,56,"Partially","Private corporation","Information Technology","For an Organization (Employed)",NA,NA,"Not a student","Rent",58000,0,"Other","White / Caucasian","Male","Bachelor's or Associate's Degree","In a Relationship","No Children","Other","Information Technology",890000,0,13635
1,"Increased",0.25,"Decreased",0.25,"No change","Become sooner","Positive",26,0,1e+06,5,250000,4,25000,45000,0,NA,31,"Partially","Self-employed","Professional (non-licensed, certified)","For Myself (Self-Employed)",NA,"For Myself (Self-Employed)","Not a student","Own",81500,40000,"Other","White / Caucasian","Female","High School or Less","Singles","No Children","Other","Other Services",790000,425000,44460
